family,model,source,malon_left_barrier_height,malon_right_barrier_height,malon_left_min_cv,malon_barrier_cv,malon_right_min_cv,f_malon_left_barrier_height,f_malon_right_barrier_height,f_malon_left_min_cv,f_malon_barrier_cv,f_malon_right_min_cv,malon_csv,f_malon_csv
MACE,mh1_mh-1,raccoon,0.1806175526204377,0.1806366746976848,-0.7493005,0.00056310906,0.75034034,0.012409627297109871,0.43232659809315016,-0.54956144,-0.19890375,0.89997107,/nexus/posix0/FHI-Theory/ngoen/Enhanced_sampling/MACE/malonaldehyd/analysis/umbrella_integration_mh1_mh-1.csv,/nexus/posix0/FHI-Theory/ngoen/Enhanced_sampling/MACE/f-malonaldehyd/analysis/umbrella_integration_mh1_mh-1.csv
MACE,off24_medium,raccoon,0.25780792188214763,0.25584423102064324,-0.7500835,0.00061782374,0.79988647,0.11167756990733135,0.44493937340497663,-0.6496727,-0.05400835,0.90061593,/nexus/posix0/FHI-Theory/ngoen/Enhanced_sampling/MACE/malonaldehyd/analysis/umbrella_integration_off24_medium.csv,/nexus/posix0/FHI-Theory/ngoen/Enhanced_sampling/MACE/f-malonaldehyd/analysis/umbrella_integration_off24_medium.csv
MACE,off_large,raccoon,0.39809972098552,0.39838907234624854,-0.74950904,0.000655814,0.7504191,0.2633912468117067,0.6133180376031333,-0.6492826,-0.055138722,0.90011364,/nexus/posix0/FHI-Theory/ngoen/Enhanced_sampling/MACE/malonaldehyd/analysis/umbrella_integration_off_large.csv,/nexus/posix0/FHI-Theory/ngoen/Enhanced_sampling/MACE/f-malonaldehyd/analysis/umbrella_integration_off_large.csv
MACE,off_medium,raccoon,0.2570822526330883,0.25792666614107107,-0.7988752,0.00066378794,0.8000089,0.11181419464182812,0.44346535331969156,-0.6496269,-0.05404345,0.90051395,/nexus/posix0/FHI-Theory/ngoen/Enhanced_sampling/MACE/malonaldehyd/analysis/umbrella_integration_off_medium.csv,/nexus/posix0/FHI-Theory/ngoen/Enhanced_sampling/MACE/f-malonaldehyd/analysis/umbrella_integration_off_medium.csv
MACE,off_small,raccoon,0.22681749418147354,0.22654674068888775,-0.7498917,0.0005835846,0.7506561,0.1347850009879496,0.42135705016227687,-0.64953077,-0.049954057,0.95040077,/nexus/posix0/FHI-Theory/ngoen/Enhanced_sampling/MACE/malonaldehyd/analysis/umbrella_integration_off_small.csv,/nexus/posix0/FHI-Theory/ngoen/Enhanced_sampling/MACE/f-malonaldehyd/analysis/umbrella_integration_off_small.csv
MACE,omol_extra_large,raccoon,0.173852828058204,0.17427769588910108,-0.74937075,0.0004887333,0.7503092,0.013856423624153347,0.44448909044134755,-0.5991806,-0.19809154,0.85091895,/nexus/posix0/FHI-Theory/ngoen/Enhanced_sampling/MACE/malonaldehyd/analysis/umbrella_integration_omol_extra_large.csv,/nexus/posix0/FHI-Theory/ngoen/Enhanced_sampling/MACE/f-malonaldehyd/analysis/umbrella_integration_omol_extra_large.csv
MACE,polar_l,raccoon,0.17552710508766706,0.17392534245880337,-0.7490971,0.00050704554,0.7499768,0.011389571925166153,0.43685886362773346,-0.54931885,-0.19853415,0.8508775,/nexus/posix0/FHI-Theory/ngoen/Enhanced_sampling/MACE/malonaldehyd/analysis/umbrella_integration_polar_l.csv,/nexus/posix0/FHI-Theory/ngoen/Enhanced_sampling/MACE/f-malonaldehyd/analysis/umbrella_integration_polar_l.csv
MACE,polar_m,raccoon,0.1820345028715498,0.1823411331570149,-0.7495149,0.0005689092,0.75062984,0.02350013350742075,0.45636903471052676,-0.5992931,-0.19848931,0.90024996,/nexus/posix0/FHI-Theory/ngoen/Enhanced_sampling/MACE/malonaldehyd/analysis/umbrella_integration_polar_m.csv,/nexus/posix0/FHI-Theory/ngoen/Enhanced_sampling/MACE/f-malonaldehyd/analysis/umbrella_integration_polar_m.csv
MACE,polar_s,raccoon,0.20774124859088544,0.20875466945405335,-0.74932325,0.00053810875,0.75037473,0.06049051857339627,0.4356053729037064,-0.5997375,-0.1493417,0.90063035,/nexus/posix0/FHI-Theory/ngoen/Enhanced_sampling/MACE/malonaldehyd/analysis/umbrella_integration_polar_s.csv,/nexus/posix0/FHI-Theory/ngoen/Enhanced_sampling/MACE/f-malonaldehyd/analysis/umbrella_integration_polar_s.csv
SO3LR,sol3r,viper,0.10791339194371335,0.10860648209085529,-0.64976704,0.0004860259,0.7001762,0.007822644993057154,0.18487355112338044,-0.44928923,-0.19970478,0.7507254,/nexus/posix0/FHI-Theory/ngoen/Enhanced_sampling/MACE/viper_analysis/sol3r/malonaldehyd/umbrella_integration_viper_sol3r.csv,/nexus/posix0/FHI-Theory/ngoen/Enhanced_sampling/MACE/viper_analysis/sol3r/f-malonaldehyd/umbrella_integration_viper_sol3r.csv
